term_str,n,n_chars,p,s,i,h
i,38398,1,0.03560595874501004,28.08518672847544,4.811737489804952,0.17132652655381328
you,37473,3,0.03474821845022556,28.778453820083794,4.84691717737489,0.16842173688957338
the,30526,3,0.02830635701469286,35.32775339055232,5.142730101252489,0.14557195427626052
to,25701,2,0.023832198179736003,41.96004046535154,5.390944164106972,0.1284780496948886
a,23299,1,0.021604855273711882,46.285892098373324,5.532500623119121,0.11952887526420942
and,20221,3,0.018750666487391217,53.33143761436131,5.736914313048067,0.1075709669507054
it,15406,2,0.014285780520486084,69.99967545112294,6.129276328000096,0.08756149637122025
that,12443,4,0.011538229716760245,86.66840794020735,6.437434298093444,0.0742765957179534
of,11796,2,0.010938275153813699,91.42209223465582,6.514470930915535,0.07125707552387499
is,10182,2,0.009441634250265436,105.91386760950697,6.726747687713453,0.06351149136120916
in,10021,2,0.00929234107463268,107.61550743438778,6.749742175537924,0.06272090646093159
what,9448,4,0.00876100573526889,114.14214648602879,6.834687788580115,0.05987873891452263
im,9305,2,0.008628403722129236,115.89629231595916,6.856690603030758,0.05916229472067915
me,8691,2,0.00805904962375338,124.08410999884937,6.955174567985712,0.056052096985264324
have,8312,4,0.007707607924593037,129.74193936477383,7.019501099073061,0.054103562297905056
this,8218,4,0.0076204429649068305,131.22596738865906,7.035909422809616,0.05361674646277122
its,8172,3,0.0075777877718689,131.964635340186,7.044007549244045,0.05337799427161374
not,8099,3,0.007510095835091314,133.15409309791332,7.056952966812178,0.05299839308449143
so,8056,2,0.007470222502468901,133.86482125124132,7.064633069970488,0.05277438093097949
my,7927,2,0.007350602504601661,136.04326983726503,7.087921776920434,0.052100495565852
just,7773,4,0.00720780033660511,138.73858227196706,7.116225237076022,0.05129233065915433
well,7765,4,0.007200382042163731,138.8815196394076,7.1177108287026085,0.05125023723230459
for,7736,3,0.007173490724813731,139.40214581178904,7.123108958500431,0.05109755604564044
oh,7386,2,0.006848940343003389,146.0079880855673,7.189903490771659,0.04924322008024691
no,7335,2,0.006801648715939596,147.02317655078392,7.19989978741652,0.048971189143975344
know,7316,4,0.006784030266641321,147.40500273373428,7.203641678228555,0.0488697231751414
we,7071,2,0.006556844999374082,152.51237448734267,7.252782494005949,0.04755537062737079
on,6939,2,0.006434443141091324,155.41360426574434,7.2799689866199255,0.04684254651331414
was,6723,3,0.006234149191174084,160.4068124349249,7.325591603745723,0.04566883097136306
be,6683,2,0.006197057718967188,161.36690109232381,7.334200879128111,0.04545046617045679
dont,6501,4,0.00602829152042581,165.88447931087526,7.374035099162443,0.04445283325960325
do,6297,2,0.005839125012170639,171.2585358107035,7.420032085963961,0.04332649494426085
your,6281,4,0.005824288423287881,171.6947938226397,7.423702483977132,0.04323778443536149
with,6018,4,0.005580411993527538,179.19823861748088,7.485412646643935,0.04177168650983453
are,5960,3,0.005526629358827539,180.94211409395973,7.499384422627748,0.04144631812322842
but,5629,3,0.005219697426315472,191.58198614318707,7.5818181051094555,0.039574796450031875
like,5022,4,0.004656834335575822,214.73815213062525,7.7464347247057725,0.03607386320430668
he,4738,2,0.004393484882906858,227.60975094976786,7.830418554737041,0.03440282554707056
all,4728,3,0.004384212014855135,228.09115905245346,7.83346671779974,0.034343578902145434
about,4668,5,0.00432857480654479,231.02292202227935,7.851892192269924,0.03398750272716533
yeah,4631,4,0.0042942651947534115,232.86871086158496,7.863372996273578,0.03376740897126147
okay,4610,4,0.0042747921718447905,233.9295010845987,7.869930002660572,0.03364231516833987
youre,4599,5,0.004264592016987894,234.48901935203307,7.873376555597338,0.03357673880574005
here,4563,4,0.004231209692001687,236.33903133903135,7.884714099531619,0.03336187871660055
get,4550,3,0.004219154963534447,237.01428571428568,7.888830208003851,0.03328419712857993
out,4439,3,0.004116226128160309,242.94097769767967,7.924462044652179,0.032618877719811964
at,4205,2,0.0038992410157499663,256.4601664684899,8.002590952834765,0.03120403087556292
go,4143,2,0.0038417492338292773,260.2980931692011,8.024020932998065,0.030826276271575397
good,3991,4,0.0037008016394430715,270.21172638436485,8.077946474466001,0.029894877556037158
up,3986,2,0.0036961652054172097,270.55067737079776,8.079755043138213,0.02986410945874169
right,3825,5,0.003546872029784452,281.9385620915033,8.139237005509896,0.02886883207862961
thats,3813,5,0.003535744588122383,282.8258589037503,8.143770222251158,0.02879429149023675
she,3804,3,0.0035273990068758316,283.4950052576236,8.147179507116709,0.028738352902242605
if,3720,2,0.0034495069152413495,289.89650537634407,8.179394131981878,0.028214876620756005
were,3719,4,0.003448579628436177,289.97445549879,8.179782005365285,0.02820862958875154
can,3575,3,0.003315050328491351,301.6545454545454,8.236753511424158,0.027305252433748945
her,3532,3,0.003275176995868937,305.3270101925255,8.254211410328807,0.027034003330147806
there,3427,5,0.003177811881325835,314.6819375547126,8.297750561458098,0.02636869032247966
got,3256,3,0.0030192458376413532,331.2085380835381,8.371596053711025,0.025275906539581793
now,3197,3,0.002964535916136181,337.32092586800127,8.397978009196752,0.024896107431185595
hey,3147,3,0.002918171575877561,342.68033047346677,8.420719574678849,0.024573104511263603
how,3126,3,0.0028986985529689405,344.98240563019834,8.430378974977607,0.02443712733574737
going,3122,5,0.0028949894057482507,345.4244074311339,8.432226215999364,0.02441120556219082
think,3118,5,0.0028912802585275613,345.8675432969852,8.434075825279487,0.02438527693255513
one,3102,3,0.002876443669644803,347.6515151515151,8.44149806694118,0.0242814936769718
want,3078,4,0.002854188786320665,350.36224821312544,8.452703521649061,0.024125611605583946
really,2975,6,0.002758678245387907,362.49243697478994,8.501807084894605,0.023453750251583524
yes,2970,3,0.0027540418113620453,363.1026936026936,8.504233822289144,0.023421015520183566
did,2877,3,0.0026678041384810116,374.8401112269725,8.550131532237986,0.022810076286261492
him,2830,3,0.0026242216586379085,381.065371024735,8.573894700258027,0.022499800171297893
they,2777,4,0.002575075457963771,388.3381346777097,8.601169576158426,0.022148660685350215
ill,2736,3,0.0025370566989517023,394.15752923976606,8.622628523091374,0.02187609745708099
,2548,0,0.00236272677957929,423.23979591836735,8.725331475720973,0.020615574338392027
gonna,2505,5,0.0023228534469568766,430.5049900199601,8.749886149894701,0.02032470320376314
rory,2450,4,0.0022718526726723943,440.16938775510204,8.78191500408734,0.019951217073217623
come,2444,4,0.0022662889518413596,441.25000000000006,8.785452468158542,0.01991037386551511
see,2429,3,0.0022523796497637737,443.97488678468505,8.794334263341407,0.01980817952797047
or,2358,2,0.002186542286596533,457.3430873621713,8.837133034997509,0.01932276507330121
why,2348,3,0.002177269418544809,459.2908858603066,8.84326434486722,0.019254169018187096
then,2345,4,0.0021744875581292916,459.87846481876335,8.845108830574533,0.019233579102383852
would,2345,5,0.0021744875581292916,459.87846481876335,8.845108830574533,0.019233579102383852
when,2299,4,0.002131832365091361,469.08003479773816,8.873690287259093,0.01891722015217579
back,2286,4,0.0021197776366241195,471.7475940507437,8.881871349762793,0.018827592258599653
time,2250,4,0.002086395311637913,479.29555555555555,8.904771751872874,0.018578874034313287
mean,2230,4,0.0020678495755344648,483.5941704035875,8.917653043169604,0.018440365060081895
will,2159,4,0.002002012212367224,499.4974525243168,8.964333509954766,0.017946705162662186
didnt,2103,5,0.0019500841512775694,512.7983832620066,9.002247903245493,0.017555140961990765
some,2063,4,0.0019129926790706733,522.7411536597189,9.029952932090788,0.017274233851442437
hes,2051,3,0.0019018652374086043,525.7996099463676,9.03836926149742,0.017189760301304424
had,2034,3,0.0018861013617206734,530.1941986234021,9.050377074119773,0.017069928523582866
mom,2014,3,0.0018675556256172253,535.4592850049653,9.064633069970487,0.01692870648397932
very,1979,4,0.0018351005874361912,544.9292572006063,9.08992514092976,0.016680926965871205
uh,1962,2,0.0018193367117482601,549.650866462793,9.102371711758034,0.01656027901918024
look,1951,4,0.0018091365568913638,552.7498718605843,9.110482975368246,0.016482107801675097
something,1934,9,0.0017933726812034327,557.6085832471562,9.123108958500431,0.016361134373816977
been,1880,4,0.001743299193724123,573.625,9.163964091412273,0.01597553121187583
an,1880,2,0.001743299193724123,573.625,9.163964091412273,0.01597553121187583
from,1869,4,0.0017330990388672264,577.0010700909578,9.172430184232114,0.015896729936369414
them,1867,4,0.0017312444652568817,577.6191751472951,9.17397482575107,0.015882393141487507
little,1847,6,0.0017126987291534335,583.8738494856524,9.189512886994834,0.015738867043095153
cant,1826,4,0.001693225706244813,590.5887185104052,9.20600998799305,0.015587852763616336
too,1825,3,0.0016922984194396406,590.9123287671233,9.20680028932253,0.015580653577716944
as,1817,2,0.0016848801249982612,593.5140341221794,9.213138333743156,0.015523033667383442
need,1808,4,0.0016765345437517096,596.4684734513274,9.220302075562085,0.01545815493350542
tell,1797,4,0.0016663343888948133,600.1196438508625,9.229106344467331,0.015378777280553214
could,1796,5,0.0016654071020896408,600.4537861915368,9.229909403236125,0.0153715566717934
sorry,1790,5,0.0016598433812586063,602.4664804469274,9.234737165825653,0.01532821736235857
because,1761,7,0.0016329520639086067,612.3878478137422,9.258301844146064,0.015118363104687177
sure,1728,4,0.0016023515993379173,624.0827546296296,9.285593535813803,0.014878785652913073
fine,1713,4,0.0015884422972603312,629.5475773496789,9.298171601893273,0.014769609059632123
great,1670,5,0.0015485689646379177,645.7574850299401,9.334848650615857,0.01445565690993586
should,1650,6,0.0015300232285344695,653.5848484848485,9.352230728844095,0.014309130253745316
shes,1647,4,0.0015272413681189523,654.7753491196114,9.354856198250918,0.014287123378772793
make,1640,4,0.0015207503604827456,657.5701219512194,9.361000938471825,0.014235745551660349
take,1619,4,0.001501277337574125,666.0994441012971,9.379593767674706,0.014081371559061539
his,1597,3,0.0014808770278603321,675.275516593613,9.39933244056604,0.013919255488456638
say,1574,3,0.0014595494313413668,685.1429479034307,9.420261212469786,0.01374933689574741
who,1571,3,0.0014567675709258494,686.4513049013368,9.423013572683075,0.013727140593078833
over,1551,4,0.0014382218348224015,695.3030303030303,9.44149806694118,0.013578968673308302
ive,1550,3,0.001437294548017229,695.7516129032258,9.442428537815672,0.013571551057444762
thing,1509,5,0.0013992757890051604,714.6554009277667,9.481103947450588,0.013266679206708864
way,1464,3,0.001357547882772402,736.6222677595629,9.52478119969323,0.012930346551513924
doing,1422,5,0.001318601836955161,758.3790436005627,9.566775288357857,0.01261476746896591
luke,1418,4,0.0013148926897344714,760.5183356840621,9.570839220737756,0.01258462652597204
our,1407,3,0.001304692534877575,766.4641080312722,9.582074424740739,0.012501660970600577
where,1405,5,0.0013028379612672301,767.5551601423488,9.584126622868984,0.01248656398986561
lorelai,1397,7,0.001295419666825851,771.9506084466714,9.592364732567809,0.012426137925935034
thank,1337,5,0.0012397824585155066,806.5931189229618,9.65569728788392,0.011970964122254235
down,1330,4,0.0012332914508792997,810.8383458646616,9.66327050758872,0.01191762890454324
nice,1318,4,0.001222164009217231,818.220789074355,9.67634638296922,0.011826082289984313
by,1313,2,0.0012175275751913689,821.3366336633663,9.681829837084384,0.011787894804960796
never,1305,5,0.0012101092807499897,826.3716475095785,9.690646946520026,0.011726741806455433
thought,1297,7,0.0012026909863086103,831.4687740940633,9.699518273725573,0.011665523199345398
two,1297,3,0.0012026909863086103,831.4687740940633,9.699518273725573,0.011665523199345398
talk,1276,4,0.0011832179633999899,845.1528213166143,9.723068424212403,0.01150450921889535
theres,1265,6,0.0011730178085430933,852.501976284585,9.7355593683956,0.011419984515256588
more,1264,4,0.0011720905217379209,853.1764240506329,9.736700289800169,0.011412294122677646
am,1258,2,0.0011665268009068866,857.245627980922,9.743564831097983,0.011366129511849577
off,1253,3,0.0011618903668810245,860.6664006384676,9.74931033865541,0.0113276297662173
us,1232,2,0.001142417343972404,875.3368506493507,9.77369449728237,0.011165638108383025
people,1213,6,0.0011247988946741282,889.047815333883,9.796117202856761,0.011018661801871497
whats,1199,5,0.0011118168794017145,899.4286905754797,9.81286509456305,0.0109101090474271
has,1185,3,0.0010988348641293008,910.0548523206752,9.82980969419165,0.010801337599733967
love,1183,4,0.0010969802905189561,911.5934065934066,9.832246679637484,0.010785780819082769
maybe,1179,5,0.0010932711432982665,914.6861747243425,9.837133034997509,0.010754653679948873
night,1170,5,0.0010849255620517149,921.7222222222222,9.848188223506504,0.010684551143578873
said,1114,4,0.0010329975009620602,968.0565529622979,9.918947520637241,0.010246248000992093
please,1111,6,0.0010302156405465428,970.6705670567057,9.92283793658818,0.010222662840881728
hi,1097,2,0.0010172336252741291,983.0583409298087,9.94113322757408,0.010112454992418285
call,1082,4,0.001003324323196543,996.6866913123846,9.960996254150457,0.009994109825058807
god,1063,3,0.0009857058738982675,1014.5014111006584,9.986555156446167,0.009843806077718018
things,1062,6,0.000984778587093095,1015.4566854990583,9.987912987173118,0.009835882839517118
nothing,1061,7,0.0009838513002879226,1016.4137606032045,9.989272097062507,0.009827958341624811
um,1047,2,0.0009708692850155089,1030.0047755491883,10.008435311046464,0.009716882434559652
into,1022,4,0.0009476871148861988,1055.2005870841488,10.043301557039651,0.009517907476522975
thanks,1012,6,0.0009384142468344747,1065.6274703557312,10.057487463282962,0.009438089522903852
lets,1007,4,0.0009337778128086126,1070.9185700099306,10.064633069970487,0.009398131054798274
much,1001,4,0.0009282140919775782,1077.3376623376623,10.073254779141278,0.009350137038079421
even,996,4,0.0009235776579517162,1082.745983935743,10.080479105909191,0.00931010528366682
theyre,986,6,0.0009143047898999921,1093.7271805273833,10.09503720159936,0.009229940867640908
huh,963,3,0.0008929771933810268,1119.8494288681204,10.129089050133812,0.009045045511494982
big,955,3,0.0008855588989396475,1129.2303664921467,10.141124115054161,0.00898056270533767
still,954,5,0.0008846316121344751,1130.4140461215932,10.14263558197176,0.008972496066172168
day,948,3,0.0008790678913034406,1137.568565400844,10.151737789079013,0.00892406673131114
first,942,5,0.0008735041704724063,1144.8142250530786,10.160897788364489,0.00887558659388023
put,918,3,0.0008512492871482685,1174.744008714597,10.198130694563464,0.008681151483992025
work,912,4,0.0008456855663172341,1182.4725877192982,10.20759102381253,0.008632412395707615
man,910,3,0.0008438309927068893,1185.0714285714284,10.210758302891213,0.008616154315018804
let,908,3,0.0008419764190965445,1187.681718061674,10.213932550686357,0.008599890353920534
anything,908,8,0.0008419764190965445,1187.681718061674,10.213932550686357,0.008599890353920534
home,902,4,0.00083641269826551,1195.5820399113084,10.22349741472189,0.008551063058358002
around,901,6,0.0008354854114603377,1196.9089900110987,10.225097742163733,0.008542919994333835
other,895,5,0.0008299216906293032,1204.932960893855,10.234737165825653,0.008494030371808589
any,883,3,0.0008187942489672343,1221.308040770102,10.254211410328807,0.00839608933047142
guys,879,4,0.0008150851017465447,1226.8657565415244,10.260761682833868,0.00836339398024969
